week,time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker,Carly Fiorina,Lindsey Graham,Bobby Jindal,George Pataki
130,,4,2,11,5,9,11,5,7,1,7,3,14,10,15
131,8:10 PM ET,5,2,8,4,9,11,11,5,1,5,3,14,10,15
132,,3,2,7,3,7,11,11,9,1,6,5,11,11,15
133,,8,2,13,4,6,10,10,7,1,4,3,13,12,13
134,,3,2,8,7,9,12,10,4,1,4,4,12,12,15
135,,6,2,11,5,7,7,7,7,1,3,4,14,13,15
136,,4,2,4,8,8,12,10,4,1,4,3,12,12,15
137,,4,2,11,7,13,4,4,7,1,7,3,10,12,13
138,,5,2,8,8,4,8,7,8,1,5,3,13,8,14
139,,4,2,11,7,8,8,8,6,1,3,5,11,11,11
140,,4,2,11,5,12,12,6,7,1,10,3,14,9,15
141,8:20 PM ET,6,2,11,4,7,12,7,5,1,9,3,13,15,14
142,,6,2,9,4,7,12,7,12,1,4,3,12,11,15
143,,3,2,8,4,6,14,8,8,1,6,4,14,11,13
144,,5,2,10,4,8,12,5,12,1,8,2,12,5,12
145,,3,2,7,5,10,14,7,5,1,4,7,10,10,15
146,,6,2,10,6,10,8,12,5,1,4,3,15,9,14
147,,3,2,13,7,10,9,10,5,1,6,4,15,8,13
148,,4,2,8,5,14,8,8,5,1,8,3,15,5,13
149,,4,2,8,5,5,11,12,7,1,10,3,15,9,12
150,,3,2,7,3,11,11,7,7,1,6,3,15,10,13
151,8:30 PM ET,4,2,9,7,9,12,9,4,1,4,3,15,7,12
152,,3,2,6,10,10,10,7,8,1,3,3,8,10,15
153,,10,2,9,6,6,13,6,5,1,4,3,12,13,13
154,,5,2,9,9,6,9,7,8,1,4,3,12,14,13
155,,4,2,6,10,10,6,6,5,1,10,3,14,6,15
156,,4,2,8,6,8,11,8,6,1,5,3,11,13,15
157,,5,2,6,8,14,8,8,3,1,6,3,11,11,15
158,,5,2,8,4,11,6,10,8,1,6,3,14,11,14
159,,5,2,12,5,7,7,9,9,1,4,3,12,11,12
160,,3,2,11,7,11,11,9,5,1,5,4,10,8,15
161,8:40 PM ET,3,2,9,7,7,14,6,10,1,4,5,13,10,15
162,,5,2,9,6,9,14,6,3,1,6,3,12,13,15
163,,6,2,9,7,13,10,5,4,1,8,3,12,13,15
164,,5,2,8,5,8,8,8,5,1,4,3,13,8,15
165,,4,2,12,4,8,8,4,8,1,7,3,14,13,15
166,,4,2,11,5,13,11,6,7,1,7,3,13,9,13
167,,3,2,7,5,12,12,9,6,1,7,4,11,10,15
168,,5,2,8,4,12,9,9,6,1,6,3,13,13,15
169,,7,2,13,4,11,11,6,4,1,7,3,13,10,13
170,,8,2,8,11,4,13,8,4,1,4,3,14,4,15
171,8:50 PM ET,5,2,8,12,7,12,9,6,1,3,4,11,12,12
172,,4,2,7,4,11,7,9,11,1,4,3,10,11,15
173,,3,2,12,6,7,12,9,7,1,3,5,15,12,11
174,,4,2,9,9,12,6,7,7,1,4,3,15,12,11
175,,3,2,6,9,6,14,10,6,1,5,4,15,12,11
176,,7,2,7,4,11,10,7,4,1,6,3,15,12,12
177,,8,2,7,4,14,5,10,8,1,5,3,15,11,13
178,,6,2,8,9,14,10,5,4,1,6,3,15,11,13
179,,4,2,5,9,6,9,8,6,1,11,3,15,13,11
180,,5,2,10,5,7,11,4,7,1,7,3,12,12,15
181,9:00 PM ET,4,2,7,7,7,7,7,6,1,5,3,13,13,12
182,,3,2,6,7,11,11,7,9,1,5,4,14,14,11
183,,4,2,13,11,6,11,8,5,1,6,3,13,13,10
184,,4,2,5,9,7,9,6,13,1,7,3,14,12,11
185,,9,2,12,4,6,9,7,7,1,5,3,14,13,11
186,,4,2,15,7,8,12,8,5,1,5,3,12,12,10
187,,4,2,12,7,8,8,5,8,1,5,3,14,11,15
188,,5,2,6,11,6,9,10,6,1,4,3,14,11,15
189,,5,2,6,9,6,11,9,6,1,4,3,14,13,15
190,,4,2,6,7,9,12,5,7,1,9,3,14,9,15
191,9:10 PM ET,4,2,11,9,6,12,8,6,1,5,3,13,9,15
192,,6,2,7,9,10,11,5,11,1,4,3,11,7,15
193,,4,3,4,6,10,9,10,8,1,6,2,13,13,15
194,,6,2,8,11,11,8,7,5,1,4,3,11,8,15
195,,6,3,10,5,10,10,9,7,1,4,2,14,7,15
196,,6,4,10,7,10,7,7,5,1,3,2,13,13,15
197,,5,3,9,6,11,7,7,9,1,4,2,12,12,15
198,,5,2,9,6,6,6,13,9,1,3,4,11,11,15
199,,4,2,9,4,4,4,13,9,1,4,3,12,13,15
200,,4,2,7,6,11,11,14,4,1,9,3,9,7,11
201,9:20 PM ET,5,2,7,7,9,12,12,6,1,4,3,9,11,12
202,,8,3,6,8,7,11,8,4,1,5,2,13,12,15
203,,4,3,6,7,8,10,5,8,1,10,2,12,13,15
204,,5,3,6,6,11,11,6,6,1,4,2,14,10,14
205,,4,3,5,7,9,11,13,7,1,6,2,13,9,13
206,,4,3,7,9,11,8,14,5,1,6,2,10,11,14
207,,4,3,5,10,12,8,9,7,1,6,2,10,13,15
208,,4,2,9,6,14,6,9,5,1,6,3,13,11,15
209,,3,2,5,9,7,11,5,7,1,10,4,13,13,15
210,,4,2,8,6,6,11,5,10,1,8,3,14,11,15
211,9:30 PM ET,6,2,5,6,9,12,12,6,1,4,3,12,10,15
212,,4,2,6,6,14,11,8,8,1,5,3,11,10,14
213,,4,2,7,9,9,12,9,7,1,5,3,14,6,14
214,,7,2,10,6,4,5,11,7,1,7,3,12,12,12
215,,4,2,12,6,6,9,10,6,1,10,3,15,13,5
216,,5,2,9,6,12,8,9,4,1,6,3,14,12,11
217,,5,2,12,5,4,9,9,8,1,5,3,12,12,9
218,,4,2,8,7,14,12,6,5,1,8,3,14,8,12
219,,4,2,12,6,8,12,9,6,1,5,3,12,11,12
220,,4,2,5,7,11,9,5,9,1,8,3,14,12,13
221,9:40 PM ET,4,2,8,5,9,12,9,5,1,5,3,12,12,11
222,,4,2,9,9,8,11,5,5,1,5,3,14,11,13
223,,4,2,9,8,11,11,11,5,1,6,3,11,6,9
224,,6,2,13,7,13,7,13,4,1,5,3,12,7,10
225,,4,2,7,9,15,10,7,5,1,6,3,14,10,12
226,,4,2,6,11,9,9,5,6,1,6,3,13,13,12
227,,3,2,10,5,12,12,7,8,1,5,4,12,8,11
228,,6,2,11,11,5,10,13,4,1,6,3,6,9,13
229,,10,2,6,6,13,4,10,6,1,5,3,13,6,13
230,,5,2,14,4,9,8,10,6,1,7,3,14,10,13
231,9:50 PM ET,5,3,8,13,6,7,8,4,1,8,2,8,14,15
232,,7,2,7,6,11,11,14,5,1,4,3,7,13,14
233,,7,2,8,4,8,8,12,4,1,6,3,12,15,14
234,,5,2,10,4,8,14,10,6,1,7,3,10,9,15
235,,4,2,7,12,7,10,12,5,1,6,3,12,10,12
236,,6,3,13,5,8,10,8,2,1,7,3,13,11,12
237,,5,2,11,6,10,9,7,3,1,11,4,14,13,15
238,,5,3,10,6,9,7,12,2,1,7,4,12,10,14
239,,4,3,10,8,7,8,10,2,1,6,5,10,10,14
240,,7,3,9,9,5,9,7,2,1,5,4,14,9,9
